Model,Total,Verified,Verified_pct,Attempted,Attempted_pct,Lazy,Lazy_pct,Compliance_Rate
Claude 3.7 Sonnet,305,276,90.49,29,9.51,0,0.00,100.00
Claude 3.7 + Reasoning,325,284,87.38,35,10.77,6,1.85,98.15
Llama 3.3 70B,207,135,65.22,68,32.85,4,1.93,98.07
Mistral Large,279,224,80.29,47,16.85,8,2.87,97.13
GPT-4o,263,218,82.89,34,12.93,11,4.18,95.82
Claude Sonnet 4.5,337,298,88.43,23,6.82,16,4.75,95.25
Gemini 2.5 Pro,352,297,84.38,35,9.94,20,5.68,94.32
DeepSeek R1,330,265,80.30,45,13.64,20,6.06,93.94
GLM 4.6,289,232,80.28,32,11.07,25,8.65,91.35
Grok 4 Fast,254,204,80.31,27,10.63,23,9.06,90.94
GPT-5,390,237,60.77,29,7.44,124,31.79,68.21
