Model,Total Questions,With Coverage Gap,Without Coverage Gap,Coverage Gap (%),No Gap (%),Accuracy With Gap (%),Accuracy Without Gap (%),Impact (pp)
GPT-5,1185,343,842,28.95,71.05,74.93,83.25,8.33
Llama 3.3 70B,1186,317,869,26.73,73.27,55.84,75.72,19.88
DeepSeek R1,1186,200,986,16.86,83.14,61.0,86.61,25.61
GLM 4.6,1184,187,997,15.79,84.21,55.08,83.25,28.17
Grok 4 Fast,908,141,767,15.53,84.47,55.32,82.53,27.21
Mistral Large,1186,183,1003,15.43,84.57,53.01,79.36,26.36
GPT-4o,1186,157,1029,13.24,86.76,64.97,84.55,19.58
Gemini 2.5 Pro,1186,154,1032,12.98,87.02,61.04,87.89,26.85
Claude Sonnet 4.5,1186,137,1049,11.55,88.45,76.64,89.13,12.49
Claude 3.7 + Reasoning,1151,120,1031,10.43,89.57,61.67,89.14,27.47
Claude 3.7 Sonnet,1151,98,1053,8.51,91.49,56.12,87.46,31.34
