Model,Coverage Gap,Composition Failure,Overconfident,Distractor Latch
Claude 3.7 Sonnet,38.865546218487395,51.2318563789152,21.531657355679705,53.45798805923161
Grok 4 Fast,12.22391260516524,53.60222781171398,21.279761904761905,43.589743589743584
Gemini 2.5 Pro,30.817869415807557,62.57909604519773,8.993586115827199,60.83293339732309
Mistral Large,31.18463810930575,64.78907365843705,23.81887261479357,47.90646693459992
GPT-5,15.80091533180778,78.88021329270616,15.607710752990663,58.64644184811471
Llama 3.3 70B,21.93722362804489,65.27210884353741,23.987378083763637,53.80883167220377
Claude 3.7 + Reasoning,28.74700487482442,46.20256523662096,-1.1793318649045545,46.082679172188804
GLM 4.6,30.95114665876718,69.17582773940396,23.092488668249516,51.832926016440794
DeepSeek R1,27.74678632064031,61.51028965045137,8.233985980178872,54.98550330705808
Claude Sonnet 4.5,14.667672449920374,48.81421990142936,11.064653503677903,54.403336680312044
GPT-4o,24.353002070393373,57.755069979030196,13.738461538461543,52.24677966101694
