Model,Coverage Gap,Composition Failure,Overconfident,Distractor Latch
Claude 3.7 + Reasoning,2.4833185158936812,11.039334177129616,0.06415263996701998,6.490578488158957
Claude 3.7 Sonnet,2.3573120226168047,12.851085399019391,0.4441530144625398,7.948025420652074
Claude Sonnet 4.5,1.442793827575287,9.957345501438349,0.92740803256557,5.7700023177193644
DeepSeek R1,4.31915279340788,14.954283150517506,1.7662097560220906,9.520048231089831
GLM 4.6,4.449073572067556,16.0116863552294,2.8993243243243216,6.648543074324325
GPT-4o,2.591949812929267,15.421675607554965,0.8549460204927373,9.398011523327712
GPT-5,2.4102749130561154,13.297532284874055,1.9301673604621499,6.810439131114235
Gemini 2.5 Pro,3.486247826712159,14.163772340290882,1.2130365418729663,8.279165269722762
Grok 4 Fast,0.6247528986501205,13.140291215902026,2.7676484419004823,6.104748826574381
Llama 3.3 70B,5.3144957375751245,24.360378917346676,3.4261240173500127,11.511316997551269
Mistral Large,4.066804645086663,22.971557054525015,2.7395724687832015,11.690429876178703
