Model,Coverage Gap,Composition Failure,Overconfident,Distractor Latch
Claude 3.7 + Reasoning,10.118043844856661,24.283305227655987,4.806070826306914,14.67116357504216
Claude 3.7 Sonnet,8.263069139966273,27.065767284991573,3.288364249578415,16.188870151770658
Claude Sonnet 4.5,11.551433389544687,21.163575042158516,10.370994940978077,11.045531197301855
DeepSeek R1,16.863406408094438,26.475548060708263,26.475548060708263,18.634064080944352
GLM 4.6,15.79391891891892,23.47972972972973,15.54054054054054,13.513513513513514
GPT-4o,13.237774030354132,29.258010118043842,5.81787521079258,19.05564924114671
GPT-5,28.945147679324894,16.455696202531644,24.556962025316455,11.139240506329113
Gemini 2.5 Pro,12.984822934232715,23.608768971332207,15.598650927487354,14.75548060708263
Grok 4 Fast,11.888701517706576,23.861720067453625,17.45362563237774,12.816188870151771
Llama 3.3 70B,26.728499156829677,37.18381112984823,15.261382799325462,21.66947723440135
Mistral Large,15.43001686340641,36.76222596964587,12.478920741989882,24.198988195615513
