Model,Coverage Gap,Composition Failure,Overconfident,Distractor Latch
Claude 3.7 Sonnet,3.5714285714285716,18.277310924369747,0.6983240223463688,10.90831918505942
Grok 4 Fast,1.5497553017944536,18.47826086956522,3.8194444444444446,7.264957264957262
Gemini 2.5 Pro,4.28885700621712,20.20128638474819,1.3935542331554338,11.608005942387333
Mistral Large,4.8604485831212205,27.30512081864304,2.999633583658542,12.364886104067562
GPT-5,4.618729096989966,21.60104302477184,3.5777675418393984,10.105233056905918
Llama 3.3 70B,6.009859460670697,28.84629838406614,3.786057420210721,13.042726955494715
Claude 3.7 + Reasoning,3.064196873052813,15.422455156123126,-0.052929340360372716,8.789964049674161
GLM 4.6,5.071319218471605,20.50986830245007,3.3933045767388754,8.49278111582775
DeepSeek R1,5.111250111696899,20.872605213795822,2.2466693048410495,11.880524260250777
Claude Sonnet 4.5,1.9982643646661185,14.466011796631452,1.2742999821651517,8.175782338192962
GPT-4o,3.400917994867902,20.235878633550477,0.8907730673316712,11.530773067331667
