Model,Coverage Gap,Composition Failure,Overconfident,Distractor Latch
Claude 3.7 Sonnet,9.18918918918919,35.67567567567568,3.2432432432432434,20.405405405405403
Grok 4 Fast,12.678062678062679,34.472934472934476,17.94871794871795,16.666666666666664
Gemini 2.5 Pro,13.916786226685796,32.281205164992826,15.494978479196556,19.08177905308465
Mistral Large,15.586034912718205,42.14463840399002,12.593516209476311,25.81047381546135
GPT-5,29.230769230769234,27.384615384615387,22.923076923076923,17.23076923076923
Llama 3.3 70B,27.395715896279594,44.193912063134164,15.783540022547914,24.23900789177001
Claude 3.7 + Reasoning,10.659186535764375,33.38008415147265,4.488078541374474,19.074333800841515
GLM 4.6,16.38491547464239,29.648894668400523,14.694408322496749,16.38491547464239
DeepSeek R1,18.421052631578945,33.933518005540165,27.28531855955679,21.60664819944598
Claude Sonnet 4.5,13.623595505617978,29.634831460674153,11.51685393258427,15.02808988764045
GPT-4o,13.96508728179551,35.03740648379052,6.483790523690773,22.069825436408976
